delta,lam,ell,a,m_det,class,margin
11,26|10|2|1|1|1|1|1|1,9,0,-1,a0,
11,26|9|3|1|1|1|1|1|1,9,0,-1,a0,
11,26|9|2|2|1|1|1|1|1,9,0,-1,a0,
11,26|8|4|1|1|1|1|1|1,9,0,-1,a0,
11,26|8|3|2|1|1|1|1|1,9,0,-1,a0,
11,26|8|2|2|2|1|1|1|1,9,0,-1,a0,
11,26|7|5|1|1|1|1|1|1,9,0,-1,a0,
11,26|7|4|2|1|1|1|1|1,9,0,-1,a0,
11,26|7|3|3|1|1|1|1|1,9,0,-1,a0,
11,26|7|3|2|2|1|1|1|1,9,0,-1,a0,
11,26|7|2|2|2|2|1|1|1,9,0,-1,a0,
11,26|6|6|1|1|1|1|1|1,9,0,-1,a0,
11,26|6|5|2|1|1|1|1|1,9,0,-1,a0,
11,26|6|4|3|1|1|1|1|1,9,0,-1,a0,
11,26|6|4|2|2|1|1|1|1,9,0,-1,a0,
11,26|6|3|3|2|1|1|1|1,9,0,-1,a0,
11,26|6|3|2|2|2|1|1|1,9,0,-1,a0,
11,26|6|2|2|2|2|2|1|1,9,0,-1,a0,
11,26|5|5|3|1|1|1|1|1,9,0,-1,a0,
11,26|5|5|2|2|1|1|1|1,9,0,-1,a0,
11,26|5|4|4|1|1|1|1|1,9,0,-1,a0,
11,26|5|4|3|2|1|1|1|1,9,0,-1,a0,
11,26|5|4|2|2|2|1|1|1,9,0,-1,a0,
11,26|5|3|3|3|1|1|1|1,9,0,-1,a0,
11,26|5|3|3|2|2|1|1|1,9,0,-1,a0,
11,26|5|3|2|2|2|2|1|1,9,1,5395,silent,5394
11,26|5|2|2|2|2|2|2|1,9,2,923,silent,921
11,26|4|4|4|2|1|1|1|1,9,0,-1,a0,
11,26|4|4|3|3|1|1|1|1,9,0,-1,a0,
11,26|4|4|3|2|2|1|1|1,9,0,-1,a0,
11,26|4|4|2|2|2|2|1|1,9,0,-1,a0,
11,26|4|3|3|3|2|1|1|1,9,0,-1,a0,
11,26|4|3|3|2|2|2|1|1,9,0,-1,a0,
11,26|4|3|2|2|2|2|2|1,9,1,1593,silent,1592
11,26|4|2|2|2|2|2|2|2,9,3,255,silent,252
11,26|3|3|3|3|3|1|1|1,9,0,-1,a0,
11,26|3|3|3|3|2|2|1|1,9,0,-1,a0,
11,26|3|3|3|2|2|2|2|1,9,0,-1,a0,
11,26|3|3|2|2|2|2|2|2,9,0,-1,a0,
11,25|12|1|1|1|1|1|1|1,9,0,-1,a0,
11,25|11|2|1|1|1|1|1|1,9,0,-1,a0,
11,25|10|3|1|1|1|1|1|1,9,0,-1,a0,
11,25|10|2|2|1|1|1|1|1,9,0,-1,a0,
11,25|9|4|1|1|1|1|1|1,9,0,-1,a0,
11,25|9|3|2|1|1|1|1|1,9,0,-1,a0,
11,25|9|2|2|2|1|1|1|1,9,0,-1,a0,
11,25|8|5|1|1|1|1|1|1,9,0,-1,a0,
11,25|8|4|2|1|1|1|1|1,9,0,-1,a0,
11,25|8|3|3|1|1|1|1|1,9,0,-1,a0,
11,25|8|3|2|2|1|1|1|1,9,0,-1,a0,
11,25|8|2|2|2|2|1|1|1,9,0,-1,a0,
11,25|7|6|1|1|1|1|1|1,9,0,-1,a0,
11,25|7|5|2|1|1|1|1|1,9,0,-1,a0,
11,25|7|4|3|1|1|1|1|1,9,0,-1,a0,
11,25|7|4|2|2|1|1|1|1,9,0,-1,a0,
11,25|7|3|3|2|1|1|1|1,9,0,-1,a0,
11,25|7|3|2|2|2|1|1|1,9,0,-1,a0,
11,25|7|2|2|2|2|2|1|1,9,1,3815,silent,3814
11,25|6|6|2|1|1|1|1|1,9,0,-1,a0,
11,25|6|5|3|1|1|1|1|1,9,0,-1,a0,
11,25|6|5|2|2|1|1|1|1,9,0,-1,a0,
11,25|6|4|4|1|1|1|1|1,9,0,-1,a0,
11,25|6|4|3|2|1|1|1|1,9,0,-1,a0,
11,25|6|4|2|2|2|1|1|1,9,0,-1,a0,
11,25|6|3|3|3|1|1|1|1,9,0,-1,a0,
11,25|6|3|3|2|2|1|1|1,9,1,27360,silent,27359
11,25|6|3|2|2|2|2|1|1,9,2,12736,silent,12734
11,25|6|2|2|2|2|2|2|1,9,4,2023,silent,2019
11,25|5|5|4|1|1|1|1|1,9,0,-1,a0,
11,25|5|5|3|2|1|1|1|1,9,0,-1,a0,
11,25|5|5|2|2|2|1|1|1,9,1,14762,silent,14761
11,25|5|4|4|2|1|1|1|1,9,0,-1,a0,
11,25|5|4|3|3|1|1|1|1,9,0,-1,a0,
11,25|5|4|3|2|2|1|1|1,9,0,-1,a0,
11,25|5|4|2|2|2|2|1|1,9,2,14039,silent,14037
11,25|5|3|3|3|2|1|1|1,9,0,-1,a0,
11,25|5|3|3|2|2|2|1|1,9,1,15301,silent,15300
11,25|5|3|2|2|2|2|2|1,9,4,5009,silent,5005
11,25|5|2|2|2|2|2|2|2,9,3,592,silent,589
11,25|4|4|4|3|1|1|1|1,9,0,-1,a0,
11,25|4|4|4|2|2|1|1|1,9,0,-1,a0,
11,25|4|4|3|3|2|1|1|1,9,0,-1,a0,
11,25|4|4|3|2|2|2|1|1,9,0,-1,a0,
11,25|4|4|2|2|2|2|2|1,9,3,3183,silent,3180
11,25|4|3|3|3|3|1|1|1,9,0,-1,a0,
11,25|4|3|3|3|2|2|1|1,9,0,-1,a0,
11,25|4|3|3|2|2|2|2|1,9,0,-1,a0,
11,25|4|3|2|2|2|2|2|2,9,2,939,silent,937
11,25|3|3|3|3|3|2|1|1,9,0,-1,a0,
11,25|3|3|3|3|2|2|2|1,9,0,-1,a0,
11,25|3|3|3|2|2|2|2|2,9,0,-1,a0,
11,24|13|1|1|1|1|1|1|1,9,0,-1,a0,
11,24|12|2|1|1|1|1|1|1,9,0,-1,a0,
11,24|11|3|1|1|1|1|1|1,9,0,-1,a0,
11,24|11|2|2|1|1|1|1|1,9,0,-1,a0,
11,24|10|4|1|1|1|1|1|1,9,0,-1,a0,
11,24|10|3|2|1|1|1|1|1,9,0,-1,a0,
11,24|10|2|2|2|1|1|1|1,9,0,-1,a0,
11,24|9|5|1|1|1|1|1|1,9,0,-1,a0,
11,24|9|4|2|1|1|1|1|1,9,0,-1,a0,
11,24|9|3|3|1|1|1|1|1,9,0,-1,a0,
11,24|9|3|2|2|1|1|1|1,9,0,-1,a0,
11,24|9|2|2|2|2|1|1|1,9,0,-1,a0,
11,24|8|6|1|1|1|1|1|1,9,0,-1,a0,
11,24|8|5|2|1|1|1|1|1,9,0,-1,a0,
11,24|8|4|3|1|1|1|1|1,9,0,-1,a0,
11,24|8|4|2|2|1|1|1|1,9,0,-1,a0,
11,24|8|3|3|2|1|1|1|1,9,0,-1,a0,
11,24|8|3|2|2|2|1|1|1,9,1,32769,silent,32768
11,24|8|2|2|2|2|2|1|1,9,1,6305,silent,6304
11,24|7|7|1|1|1|1|1|1,9,0,-1,a0,
11,24|7|6|2|1|1|1|1|1,9,0,-1,a0,
11,24|7|5|3|1|1|1|1|1,9,0,-1,a0,
11,24|7|5|2|2|1|1|1|1,9,0,-1,a0,
11,24|7|4|4|1|1|1|1|1,9,0,-1,a0,
11,24|7|4|3|2|1|1|1|1,9,0,-1,a0,
11,24|7|4|2|2|2|1|1|1,9,1,61146,silent,61145
11,24|7|3|3|3|1|1|1|1,9,1,33209,silent,33208
11,24|7|3|3|2|2|1|1|1,9,2,56152,silent,56150
11,24|7|3|2|2|2|2|1|1,9,6,25470,silent,25464
11,24|7|2|2|2|2|2|2|1,9,6,3783,silent,3777
11,24|6|6|3|1|1|1|1|1,9,0,-1,a0,
11,24|6|6|2|2|1|1|1|1,9,0,-1,a0,
11,24|6|5|4|1|1|1|1|1,9,0,-1,a0,
11,24|6|5|3|2|1|1|1|1,9,1,104068,silent,104067
11,24|6|5|2|2|2|1|1|1,9,2,54157,silent,54155
11,24|6|4|4|2|1|1|1|1,9,0,-1,a0,
11,24|6|4|3|3|1|1|1|1,9,0,-1,a0,
11,24|6|4|3|2|2|1|1|1,9,2,108496,silent,108494
11,24|6|4|2|2|2|2|1|1,9,5,38676,silent,38671
11,24|6|3|3|3|2|1|1|1,9,1,44924,silent,44923
11,24|6|3|3|2|2|2|1|1,9,4,38821,silent,38817
11,24|6|3|2|2|2|2|2|1,9,8,12189,silent,12181
11,24|6|2|2|2|2|2|2|2,9,7,1336,silent,1329
11,24|5|5|5|1|1|1|1|1,9,0,-1,a0,
11,24|5|5|4|2|1|1|1|1,9,0,-1,a0,
11,24|5|5|3|3|1|1|1|1,9,0,-1,a0,
11,24|5|5|3|2|2|1|1|1,9,2,60113,silent,60111
11,24|5|5|2|2|2|2|1|1,9,5,20285,silent,20280
11,24|5|4|4|3|1|1|1|1,9,0,-1,a0,
11,24|5|4|4|2|2|1|1|1,9,0,-1,a0,
11,24|5|4|3|3|2|1|1|1,9,0,-1,a0,
11,24|5|4|3|2|2|2|1|1,9,4,54269,silent,54265
11,24|5|4|2|2|2|2|2|1,9,8,13673,silent,13665
11,24|5|3|3|3|3|1|1|1,9,0,-1,a0,
11,24|5|3|3|3|2|2|1|1,9,0,-1,a0,
11,24|5|3|3|2|2|2|2|1,9,2,14607,silent,14605
11,24|5|3|2|2|2|2|2|2,9,3,2930,silent,2927
11,24|4|4|4|4|1|1|1|1,9,0,-1,a0,
11,24|4|4|4|3|2|1|1|1,9,0,-1,a0,
11,24|4|4|4|2|2|2|1|1,9,0,-1,a0,
11,24|4|4|3|3|3|1|1|1,9,0,-1,a0,
11,24|4|4|3|3|2|2|1|1,9,0,-1,a0,
11,24|4|4|3|2|2|2|2|1,9,2,11432,silent,11430
11,24|4|4|2|2|2|2|2|2,9,5,2046,silent,2041
11,24|4|3|3|3|3|2|1|1,9,0,-1,a0,
11,24|4|3|3|3|2|2|2|1,9,0,-1,a0,
11,24|4|3|3|2|2|2|2|2,9,0,-1,a0,
11,24|3|3|3|3|3|3|1|1,9,0,-1,a0,
11,24|3|3|3|3|3|2|2|1,9,0,-1,a0,
11,24|3|3|3|3|2|2|2|2,9,0,-1,a0,
11,23|14|1|1|1|1|1|1|1,9,0,-1,a0,
11,23|13|2|1|1|1|1|1|1,9,0,-1,a0,
11,23|12|3|1|1|1|1|1|1,9,0,-1,a0,
11,23|12|2|2|1|1|1|1|1,9,0,-1,a0,
11,23|11|4|1|1|1|1|1|1,9,0,-1,a0,
11,23|11|3|2|1|1|1|1|1,9,0,-1,a0,
11,23|11|2|2|2|1|1|1|1,9,0,-1,a0,
11,23|10|5|1|1|1|1|1|1,9,0,-1,a0,
11,23|10|4|2|1|1|1|1|1,9,0,-1,a0,
11,23|10|3|3|1|1|1|1|1,9,0,-1,a0,
11,23|10|3|2|2|1|1|1|1,9,0,-1,a0,
11,23|10|2|2|2|2|1|1|1,9,0,-1,a0,
11,23|9|6|1|1|1|1|1|1,9,0,-1,a0,
11,23|9|5|2|1|1|1|1|1,9,0,-1,a0,
11,23|9|4|3|1|1|1|1|1,9,0,-1,a0,
11,23|9|4|2|2|1|1|1|1,9,0,-1,a0,
11,23|9|3|3|2|1|1|1|1,9,1,71917,silent,71916
11,23|9|3|2|2|2|1|1|1,9,2,50654,silent,50652
11,23|9|2|2|2|2|2|1|1,9,3,9623,silent,9620
11,23|8|7|1|1|1|1|1|1,9,0,-1,a0,
11,23|8|6|2|1|1|1|1|1,9,0,-1,a0,
11,23|8|5|3|1|1|1|1|1,9,0,-1,a0,
11,23|8|5|2|2|1|1|1|1,9,1,129223,silent,129222
11,23|8|4|4|1|1|1|1|1,9,0,-1,a0,
11,23|8|4|3|2|1|1|1|1,9,1,204670,silent,204669
11,23|8|4|2|2|2|1|1|1,9,3,111997,silent,111994
11,23|8|3|3|3|1|1|1|1,9,1,60246,silent,60245
11,23|8|3|3|2|2|1|1|1,9,6,100267,silent,100261
11,23|8|3|2|2|2|2|1|1,9,10,44453,silent,44443
11,23|8|2|2|2|2|2|2|1,9,9,6340,silent,6331
11,23|7|7|2|1|1|1|1|1,9,0,-1,a0,
11,23|7|6|3|1|1|1|1|1,9,0,-1,a0,
11,23|7|6|2|2|1|1|1|1,9,0,-1,a0,
11,23|7|5|4|1|1|1|1|1,9,0,-1,a0,
11,23|7|5|3|2|1|1|1|1,9,3,264141,silent,264138
11,23|7|5|2|2|2|1|1|1,9,7,134487,silent,134480
11,23|7|4|4|2|1|1|1|1,9,0,-1,a0,
11,23|7|4|3|3|1|1|1|1,9,2,160848,silent,160846
11,23|7|4|3|2|2|1|1|1,9,7,244825,silent,244818
11,23|7|4|2|2|2|2|1|1,9,15,85202,silent,85187
11,23|7|3|3|3|2|1|1|1,9,4,96245,silent,96241
11,23|7|3|3|2|2|2|1|1,9,9,81275,silent,81266
11,23|7|3|2|2|2|2|2|1,9,15,24643,silent,24628
11,23|7|2|2|2|2|2|2|2,9,7,2382,silent,2375
11,23|6|6|4|1|1|1|1|1,9,1,58449,silent,58448
11,23|6|6|3|2|1|1|1|1,9,2,126180,silent,126178
11,23|6|6|2|2|2|1|1|1,9,1,61672,silent,61671
11,23|6|5|5|1|1|1|1|1,9,0,-1,a0,
11,23|6|5|4|2|1|1|1|1,9,2,202757,silent,202755
11,23|6|5|3|3|1|1|1|1,9,2,159699,silent,159697
11,23|6|5|3|2|2|1|1|1,9,10,236940,silent,236930
11,23|6|5|2|2|2|2|1|1,9,12,76351,silent,76339
11,23|6|4|4|3|1|1|1|1,9,0,-1,a0,
11,23|6|4|4|2|2|1|1|1,9,1,165896,silent,165895
11,23|6|4|3|3|2|1|1|1,9,4,207296,silent,207292
11,23|6|4|3|2|2|2|1|1,9,13,160124,silent,160111
11,23|6|4|2|2|2|2|2|1,9,19,38508,silent,38489
11,23|6|3|3|3|3|1|1|1,9,0,-1,a0,
11,23|6|3|3|3|2|2|1|1,9,2,72948,silent,72946
11,23|6|3|3|2|2|2|2|1,9,5,38003,silent,37998
11,23|6|3|2|2|2|2|2|2,9,8,7312,silent,7304
11,23|5|5|5|2|1|1|1|1,9,1,42477,silent,42476
11,23|5|5|4|3|1|1|1|1,9,0,-1,a0,
11,23|5|5|4|2|2|1|1|1,9,5,115226,silent,115221
11,23|5|5|3|3|2|1|1|1,9,1,117987,silent,117986
11,23|5|5|3|2|2|2|1|1,9,9,89422,silent,89413
11,23|5|5|2|2|2|2|2|1,9,6,19654,silent,19648
11,23|5|4|4|4|1|1|1|1,9,0,-1,a0,
11,23|5|4|4|3|2|1|1|1,9,0,-1,a0,
11,23|5|4|4|2|2|2|1|1,9,5,79652,silent,79647
11,23|5|4|3|3|3|1|1|1,9,0,-1,a0,
11,23|5|4|3|3|2|2|1|1,9,2,112239,silent,112237
11,23|5|4|3|2|2|2|2|1,9,10,54641,silent,54631
11,23|5|4|2|2|2|2|2|2,9,7,8306,silent,8299
11,23|5|3|3|3|3|2|1|1,9,0,-1,a0,
11,23|5|3|3|3|2|2|2|1,9,0,-1,a0,
11,23|5|3|3|2|2|2|2|2,9,1,8573,silent,8572
11,23|4|4|4|4|2|1|1|1,9,0,-1,a0,
11,23|4|4|4|3|3|1|1|1,9,0,-1,a0,
11,23|4|4|4|3|2|2|1|1,9,0,-1,a0,
11,23|4|4|4|2|2|2|2|1,9,4,15269,silent,15265
11,23|4|4|3|3|3|2|1|1,9,0,-1,a0,
11,23|4|4|3|3|2|2|2|1,9,0,-1,a0,
11,23|4|4|3|2|2|2|2|2,9,3,7027,silent,7024
11,23|4|3|3|3|3|3|1|1,9,0,-1,a0,
11,23|4|3|3|3|3|2|2|1,9,0,-1,a0,
11,23|4|3|3|3|2|2|2|2,9,0,-1,a0,
11,23|3|3|3|3|3|3|2|1,9,0,-1,a0,
11,23|3|3|3|3|3|2|2|2,9,0,-1,a0,
11,22|15|1|1|1|1|1|1|1,9,0,-1,a0,
11,22|14|2|1|1|1|1|1|1,9,0,-1,a0,
11,22|13|3|1|1|1|1|1|1,9,0,-1,a0,
11,22|13|2|2|1|1|1|1|1,9,0,-1,a0,
11,22|12|4|1|1|1|1|1|1,9,0,-1,a0,
11,22|12|3|2|1|1|1|1|1,9,0,-1,a0,
11,22|12|2|2|2|1|1|1|1,9,0,-1,a0,
11,22|11|5|1|1|1|1|1|1,9,0,-1,a0,
11,22|11|4|2|1|1|1|1|1,9,0,-1,a0,
11,22|11|3|3|1|1|1|1|1,9,0,-1,a0,
11,22|11|3|2|2|1|1|1|1,9,0,-1,a0,
11,22|11|2|2|2|2|1|1|1,9,0,-1,a0,
11,22|10|6|1|1|1|1|1|1,9,0,-1,a0,
11,22|10|5|2|1|1|1|1|1,9,0,-1,a0,
11,22|10|4|3|1|1|1|1|1,9,0,-1,a0,
11,22|10|4|2|2|1|1|1|1,9,1,128306,silent,128305
11,22|10|3|3|2|1|1|1|1,9,2,101333,silent,101331
11,22|10|3|2|2|2|1|1|1,9,4,70471,silent,70467
11,22|10|2|2|2|2|2|1|1,9,3,13101,silent,13098
11,22|9|7|1|1|1|1|1|1,9,0,-1,a0,
11,22|9|6|2|1|1|1|1|1,9,0,-1,a0,
11,22|9|5|3|1|1|1|1|1,9,1,209004,silent,209003
11,22|9|5|2|2|1|1|1|1,9,2,216435,silent,216433
11,22|9|4|4|1|1|1|1|1,9,0,-1,a0,
11,22|9|4|3|2|1|1|1|1,9,4,333565,silent,333561
11,22|9|4|2|2|2|1|1|1,9,8,180444,silent,180436
11,22|9|3|3|3|1|1|1|1,9,4,96512,silent,96508
11,22|9|3|3|2|2|1|1|1,9,11,158713,silent,158702
11,22|9|3|2|2|2|2|1|1,9,17,69304,silent,69287
11,22|9|2|2|2|2|2|2|1,9,12,9546,silent,9534
11,22|8|8|1|1|1|1|1|1,9,0,-1,a0,
11,22|8|7|2|1|1|1|1|1,9,0,-1,a0,
11,22|8|6|3|1|1|1|1|1,9,1,224147,silent,224146
11,22|8|6|2|2|1|1|1|1,9,3,223795,silent,223792
11,22|8|5|4|1|1|1|1|1,9,1,234612,silent,234611
11,22|8|5|3|2|1|1|1|1,9,9,534552,silent,534543
11,22|8|5|2|2|2|1|1|1,9,16,267043,silent,267027
11,22|8|4|4|2|1|1|1|1,9,2,325112,silent,325110
11,22|8|4|3|3|1|1|1|1,9,5,308370,silent,308365
11,22|8|4|3|2|2|1|1|1,9,20,464206,silent,464186
11,22|8|4|2|2|2|2|1|1,9,25,157989,silent,157964
11,22|8|3|3|3|2|1|1|1,9,8,177271,silent,177263
11,22|8|3|3|2|2|2|1|1,9,20,147205,silent,147185
11,22|8|3|2|2|2|2|2|1,9,23,43525,silent,43502
11,22|8|2|2|2|2|2|2|2,9,12,4058,silent,4046
11,22|7|7|3|1|1|1|1|1,9,0,-1,a0,
11,22|7|7|2|2|1|1|1|1,9,0,-1,a0,
11,22|7|6|4|1|1|1|1|1,9,1,205944,silent,205943
11,22|7|6|3|2|1|1|1|1,9,8,434752,silent,434744
11,22|7|6|2|2|2|1|1|1,9,10,209468,silent,209458
11,22|7|5|5|1|1|1|1|1,9,1,115282,silent,115281
11,22|7|5|4|2|1|1|1|1,9,8,544940,silent,544932
11,22|7|5|3|3|1|1|1|1,9,10,419800,silent,419790
11,22|7|5|3|2|2|1|1|1,9,30,614410,silent,614380
11,22|7|5|2|2|2|2|1|1,9,33,192975,silent,192942
11,22|7|4|4|3|1|1|1|1,9,1,331936,silent,331935
11,22|7|4|4|2|2|1|1|1,9,9,398343,silent,398334
11,22|7|4|3|3|2|1|1|1,9,14,484376,silent,484362
11,22|7|4|3|2|2|2|1|1,9,34,367808,silent,367774
11,22|7|4|2|2|2|2|2|1,9,34,85136,silent,85102
11,22|7|3|3|3|3|1|1|1,9,2,90420,silent,90418
11,22|7|3|3|3|2|2|1|1,9,5,158956,silent,158951
11,22|7|3|3|2|2|2|2|1,9,12,81071,silent,81059
11,22|7|3|2|2|2|2|2|2,9,11,14801,silent,14790
11,22|6|6|5|1|1|1|1|1,9,2,74679,silent,74677
11,22|6|6|4|2|1|1|1|1,9,6,281710,silent,281704
11,22|6|6|3|3|1|1|1|1,9,5,205062,silent,205057
11,22|6|6|3|2|2|1|1|1,9,12,294418,silent,294406
11,22|6|6|2|2|2|2|1|1,9,8,89172,silent,89164
11,22|6|5|5|2|1|1|1|1,9,6,206087,silent,206081
11,22|6|5|4|3|1|1|1|1,9,6,421593,silent,421587
11,22|6|5|4|2|2|1|1|1,9,18,495226,silent,495208
11,22|6|5|3|3|2|1|1|1,9,14,489769,silent,489755
11,22|6|5|3|2|2|2|1|1,9,32,360414,silent,360382
11,22|6|5|2|2|2|2|2|1,9,23,76532,silent,76509
11,22|6|4|4|4|1|1|1|1,9,0,-1,a0,
11,22|6|4|4|3|2|1|1|1,9,5,431155,silent,431150
11,22|6|4|4|2|2|2|1|1,9,14,257155,silent,257141
11,22|6|4|3|3|3|1|1|1,9,2,206669,silent,206667
11,22|6|4|3|3|2|2|1|1,9,12,347695,silent,347683
11,22|6|4|3|2|2|2|2|1,9,25,164181,silent,164156
11,22|6|4|2|2|2|2|2|2,9,19,23815,silent,23796
11,22|6|3|3|3|3|2|1|1,9,0,-1,a0,
11,22|6|3|3|3|2|2|2|1,9,1,77502,silent,77501
11,22|6|3|3|2|2|2|2|2,9,2,22672,silent,22670
11,22|5|5|5|3|1|1|1|1,9,2,96633,silent,96631
11,22|5|5|5|2|2|1|1|1,9,8,108253,silent,108245
11,22|5|5|4|4|1|1|1|1,9,0,-1,a0,
11,22|5|5|4|3|2|1|1|1,9,6,307785,silent,307779
11,22|5|5|4|2|2|2|1|1,9,16,180339,silent,180323
11,22|5|5|3|3|3|1|1|1,9,0,-1,a0,
11,22|5|5|3|3|2|2|1|1,9,5,199978,silent,199973
11,22|5|5|3|2|2|2|2|1,9,11,91388,silent,91377
