delta,lam,ell,a,m_det,class,margin
12,32|6|3|3|2|1|1,7,4,6978,silent,6974
12,32|6|3|2|2|2|1,7,9,4430,silent,4421
12,32|6|2|2|2|2|2,7,9,825,silent,816
12,32|5|5|3|1|1|1,7,2,3953,silent,3951
12,32|5|5|2|2|1|1,7,5,4012,silent,4007
12,32|5|4|4|1|1|1,7,0,-1,a0,
12,32|5|4|3|2|1|1,7,4,9155,silent,9151
12,32|5|4|2|2|2|1,7,9,4789,silent,4780
12,32|5|3|3|3|1|1,7,0,-1,a0,
12,32|5|3|3|2|2|1,7,2,4683,silent,4681
12,32|5|3|2|2|2|2,7,4,1653,silent,1649
12,32|4|4|4|2|1|1,7,0,-1,a0,
12,32|4|4|3|3|1|1,7,0,-1,a0,
12,32|4|4|3|2|2|1,7,2,3593,silent,3591
12,32|4|4|2|2|2|2,7,6,1160,silent,1154
12,32|4|3|3|3|2|1,7,0,-1,a0,
12,32|4|3|3|2|2|2,7,0,-1,a0,
12,32|3|3|3|3|3|1,7,0,-1,a0,
12,32|3|3|3|3|2|2,7,0,-1,a0,
12,31|12|1|1|1|1|1,7,0,-1,a0,
12,31|11|2|1|1|1|1,7,0,-1,a0,
12,31|10|3|1|1|1|1,7,0,-1,a0,
12,31|10|2|2|1|1|1,7,0,-1,a0,
12,31|9|4|1|1|1|1,7,0,-1,a0,
12,31|9|3|2|1|1|1,7,2,5498,silent,5496
12,31|9|2|2|2|1|1,7,3,2205,silent,2202
12,31|8|5|1|1|1|1,7,1,3973,silent,3972
12,31|8|4|2|1|1|1,7,3,10514,silent,10511
12,31|8|3|3|1|1|1,7,4,7150,silent,7146
12,31|8|3|2|2|1|1,7,10,8996,silent,8986
12,31|8|2|2|2|2|1,7,12,2418,silent,2406
12,31|7|6|1|1|1|1,7,0,-1,a0,
12,31|7|5|2|1|1|1,7,6,11900,silent,11894
12,31|7|4|3|1|1|1,7,5,15185,silent,15180
12,31|7|4|2|2|1|1,7,16,15951,silent,15935
12,31|7|3|3|2|1|1,7,9,13561,silent,13552
12,31|7|3|2|2|2|1,7,19,8431,silent,8412
12,31|7|2|2|2|2|2,7,12,1392,silent,1380
12,31|6|6|2|1|1|1,7,1,5213,silent,5212
12,31|6|5|3|1|1|1,7,8,13999,silent,13991
12,31|6|5|2|2|1|1,7,13,13778,silent,13765
12,31|6|4|4|1|1|1,7,1,8354,silent,8353
12,31|6|4|3|2|1|1,7,14,24834,silent,24820
12,31|6|4|2|2|2|1,7,24,12580,silent,12556
12,31|6|3|3|3|1|1,7,2,7978,silent,7976
12,31|6|3|3|2|2|1,7,6,11379,silent,11373
12,31|6|3|2|2|2|2,7,12,3920,silent,3908
12,31|5|5|4|1|1|1,7,5,5798,silent,5793
12,31|5|5|3|2|1|1,7,10,13555,silent,13545
12,31|5|5|2|2|2|1,7,8,6238,silent,6230
12,31|5|4|4|2|1|1,7,5,11125,silent,11120
12,31|5|4|3|3|1|1,7,2,11431,silent,11429
12,31|5|4|3|2|2|1,7,12,15818,silent,15806
12,31|5|4|2|2|2|2,7,11,4317,silent,4306
12,31|5|3|3|3|2|1,7,0,-1,a0,
12,31|5|3|3|2|2|2,7,1,4131,silent,4130
12,31|4|4|4|3|1|1,7,0,-1,a0,
12,31|4|4|4|2|2|1,7,5,4229,silent,4224
12,31|4|4|3|3|2|1,7,0,-1,a0,
12,31|4|4|3|2|2|2,7,4,3363,silent,3359
12,31|4|3|3|3|3|1,7,0,-1,a0,
12,31|4|3|3|3|2|2,7,0,-1,a0,
12,31|3|3|3|3|3|2,7,0,-1,a0,
12,30|13|1|1|1|1|1,7,0,-1,a0,
12,30|12|2|1|1|1|1,7,0,-1,a0,
12,30|11|3|1|1|1|1,7,0,-1,a0,
12,30|11|2|2|1|1|1,7,0,-1,a0,
12,30|10|4|1|1|1|1,7,1,4465,silent,4464
12,30|10|3|2|1|1|1,7,3,7632,silent,7629
12,30|10|2|2|2|1|1,7,4,2997,silent,2993
12,30|9|5|1|1|1|1,7,1,6409,silent,6408
12,30|9|4|2|1|1|1,7,7,16489,silent,16482
12,30|9|3|3|1|1|1,7,7,10950,silent,10943
12,30|9|3|2|2|1|1,7,19,13724,silent,13705
12,30|9|2|2|2|2|1,7,18,3577,silent,3559
12,30|8|6|1|1|1|1,7,2,6057,silent,6055
12,30|8|5|2|1|1|1,7,14,22394,silent,22380
12,30|8|4|3|1|1|1,7,14,27283,silent,27269
12,30|8|4|2|2|1|1,7,29,28216,silent,28187
12,30|8|3|3|2|1|1,7,20,23483,silent,23463
12,30|8|3|2|2|2|1,7,34,14355,silent,14321
12,30|8|2|2|2|2|2,7,21,2327,silent,2306
12,30|7|7|1|1|1|1,7,0,-1,a0,
12,30|7|6|2|1|1|1,7,8,16702,silent,16694
12,30|7|5|3|1|1|1,7,20,33777,silent,33757
12,30|7|5|2|2|1|1,7,38,32846,silent,32808
12,30|7|4|4|1|1|1,7,8,18825,silent,18817
12,30|7|4|3|2|1|1,7,37,53626,silent,53589
12,30|7|4|2|2|2|1,7,51,26361,silent,26310
12,30|7|3|3|3|1|1,7,4,16233,silent,16229
12,30|7|3|3|2|2|1,7,17,23047,silent,23030
12,30|7|3|2|2|2|2,7,21,7591,silent,7570
12,30|6|6|3|1|1|1,7,8,15522,silent,15514
12,30|6|6|2|2|1|1,7,10,14679,silent,14669
12,30|6|5|4|1|1|1,7,13,22486,silent,22473
12,30|6|5|3|2|1|1,7,38,50523,silent,50485
12,30|6|5|2|2|2|1,7,34,22863,silent,22829
12,30|6|4|4|2|1|1,7,17,33242,silent,33225
12,30|6|4|3|3|1|1,7,12,32799,silent,32787
12,30|6|4|3|2|2|1,7,36,44577,silent,44541
12,30|6|4|2|2|2|2,7,33,11802,silent,11769
12,30|6|3|3|3|2|1,7,1,17677,silent,17676
12,30|6|3|3|2|2|2,7,4,10378,silent,10374
12,30|5|5|5|1|1|1,7,7,4711,silent,4704
12,30|5|5|4|2|1|1,7,19,22975,silent,22956
12,30|5|5|3|3|1|1,7,6,18326,silent,18320
12,30|5|5|3|2|2|1,7,16,24181,silent,24165
12,30|5|5|2|2|2|2,7,5,5570,silent,5565
12,30|5|4|4|3|1|1,7,7,18889,silent,18882
12,30|5|4|4|2|2|1,7,19,21389,silent,21370
12,30|5|4|3|3|2|1,7,5,26518,silent,26513
12,30|5|4|3|2|2|2,7,12,15026,silent,15014
12,30|5|3|3|3|3|1,7,0,-1,a0,
12,30|5|3|3|3|2|2,7,0,-1,a0,
12,30|4|4|4|4|1|1,7,0,-1,a0,
12,30|4|4|4|3|2|1,7,3,8816,silent,8813
12,30|4|4|4|2|2|2,7,10,4391,silent,4381
12,30|4|4|3|3|3|1,7,0,-1,a0,
12,30|4|4|3|3|2|2,7,0,-1,a0,
12,30|4|3|3|3|3|2,7,0,-1,a0,
12,30|3|3|3|3|3|3,7,0,-1,a0,
12,29|14|1|1|1|1|1,7,0,-1,a0,
12,29|13|2|1|1|1|1,7,0,-1,a0,
12,29|12|3|1|1|1|1,7,0,-1,a0,
12,29|12|2|2|1|1|1,7,0,-1,a0,
12,29|11|4|1|1|1|1,7,0,-1,a0,
12,29|11|3|2|1|1|1,7,5,10069,silent,10064
12,29|11|2|2|2|1|1,7,7,3971,silent,3964
12,29|10|5|1|1|1|1,7,3,9541,silent,9538
12,29|10|4|2|1|1|1,7,12,23941,silent,23929
12,29|10|3|3|1|1|1,7,12,15674,silent,15662
12,29|10|3|2|2|1|1,7,29,19518,silent,19489
12,29|10|2|2|2|2|1,7,26,4997,silent,4971
12,29|9|6|1|1|1|1,7,3,10707,silent,10704
12,29|9|5|2|1|1|1,7,27,37551,silent,37524
12,29|9|4|3|1|1|1,7,26,44295,silent,44269
12,29|9|4|2|2|1|1,7,58,45612,silent,45554
12,29|9|3|3|2|1|1,7,35,36985,silent,36950
12,29|9|3|2|2|2|1,7,56,22317,silent,22261
12,29|9|2|2|2|2|2,7,26,3376,silent,3350
12,29|8|7|1|1|1|1,7,3,7334,silent,7331
12,29|8|6|2|1|1|1,7,22,36595,silent,36573
12,29|8|5|3|1|1|1,7,49,66610,silent,66561
12,29|8|5|2|2|1|1,7,74,63940,silent,63866
12,29|8|4|4|1|1|1,7,16,35812,silent,35796
12,29|8|4|3|2|1|1,7,81,99557,silent,99476
12,29|8|4|2|2|2|1,7,95,48051,silent,47956
12,29|8|3|3|3|1|1,7,13,29165,silent,29152
12,29|8|3|3|2|2|1,7,35,41063,silent,41028
12,29|8|3|2|2|2|2,7,40,13260,silent,13220
12,29|7|7|2|1|1|1,7,12,15780,silent,15768
12,29|7|6|3|1|1|1,7,31,51955,silent,51924
12,29|7|6|2|2|1|1,7,52,48726,silent,48674
12,29|7|5|4|1|1|1,7,41,58345,silent,58304
12,29|7|5|3|2|1|1,7,102,126517,silent,126415
12,29|7|5|2|2|2|1,7,86,55802,silent,55716
12,29|7|4|4|2|1|1,7,54,77416,silent,77362
12,29|7|4|3|3|1|1,7,29,73707,silent,73678
12,29|7|4|3|2|2|1,7,89,99004,silent,98915
12,29|7|4|2|2|2|2,7,57,24850,silent,24793
12,29|7|3|3|3|2|1,7,5,37384,silent,37379
12,29|7|3|3|2|2|2,7,13,21758,silent,21745
12,29|6|6|4|1|1|1,7,11,28872,silent,28861
12,29|6|6|3|2|1|1,7,41,59321,silent,59280
12,29|6|6|2|2|2|1,7,40,25847,silent,25807
12,29|6|5|5|1|1|1,7,20,21005,silent,20985
12,29|6|5|4|2|1|1,7,67,93735,silent,93668
12,29|6|5|3|3|1|1,7,35,72360,silent,72325
12,29|6|5|3|2|2|1,7,72,94237,silent,94165
12,29|6|5|2|2|2|2,7,37,21597,silent,21560
12,29|6|4|4|3|1|1,7,25,59597,silent,59572
12,29|6|4|4|2|2|1,7,61,66087,silent,66026
12,29|6|4|3|3|2|1,7,20,78666,silent,78646
12,29|6|4|3|2|2|2,7,38,43606,silent,43568
12,29|6|3|3|3|3|1,7,0,-1,a0,
12,29|6|3|3|3|2|2,7,0,-1,a0,
12,29|5|5|5|2|1|1,7,18,19903,silent,19885
12,29|5|5|4|3|1|1,7,24,42218,silent,42194
12,29|5|5|4|2|2|1,7,27,44593,silent,44566
12,29|5|5|3|3|2|1,7,13,44663,silent,44650
12,29|5|5|3|2|2|2,7,11,23521,silent,23510
12,29|5|4|4|4|1|1,7,8,14651,silent,14643
12,29|5|4|4|3|2|1,7,22,48468,silent,48446
12,29|5|4|4|2|2|2,7,23,21759,silent,21736
12,29|5|4|3|3|3|1,7,0,-1,a0,
12,29|5|4|3|3|2|2,7,4,28453,silent,28449
12,29|5|3|3|3|3|2,7,0,-1,a0,
12,29|4|4|4|4|2|1,7,7,7283,silent,7276
12,29|4|4|4|3|3|1,7,0,-1,a0,
12,29|4|4|4|3|2|2,7,6,9914,silent,9908
12,29|4|4|3|3|3|2,7,0,-1,a0,
12,29|4|3|3|3|3|3,7,0,-1,a0,
12,28|15|1|1|1|1|1,7,0,-1,a0,
12,28|14|2|1|1|1|1,7,0,-1,a0,
12,28|13|3|1|1|1|1,7,0,-1,a0,
12,28|13|2|2|1|1|1,7,0,-1,a0,
12,28|12|4|1|1|1|1,7,1,7426,silent,7425
12,28|12|3|2|1|1|1,7,7,12482,silent,12475
12,28|12|2|2|2|1|1,7,8,4848,silent,4840
12,28|11|5|1|1|1|1,7,4,13153,silent,13149
12,28|11|4|2|1|1|1,7,19,32560,silent,32541
12,28|11|3|3|1|1|1,7,17,21035,silent,21018
12,28|11|3|2|2|1|1,7,44,26140,silent,26096
12,28|11|2|2|2|2|1,7,34,6562,silent,6528
12,28|10|6|1|1|1|1,7,7,16982,silent,16975
12,28|10|5|2|1|1|1,7,45,57171,silent,57126
12,28|10|4|3|1|1|1,7,48,66173,silent,66125
12,28|10|4|2|2|1|1,7,88,67485,silent,67397
12,28|10|3|3|2|1|1,7,59,54199,silent,54140
12,28|10|3|2|2|2|1,7,85,32340,silent,32255
12,28|10|2|2|2|2|2,7,39,4850,silent,4811
12,28|9|7|1|1|1|1,7,6,15017,silent,15011
12,28|9|6|2|1|1|1,7,49,67276,silent,67227
12,28|9|5|3|1|1|1,7,92,115426,silent,115334
12,28|9|5|2|2|1|1,7,143,109987,silent,109844
12,28|9|4|4|1|1|1,7,36,60917,silent,60881
12,28|9|4|3|2|1|1,7,152,165899,silent,165747
12,28|9|4|2|2|2|1,7,159,78742,silent,78583
12,28|9|3|3|3|1|1,7,23,47374,silent,47351
12,28|9|3|3|2|2|1,7,66,66393,silent,66327
12,28|9|3|2|2|2|2,7,60,20898,silent,20838
12,28|8|8|1|1|1|1,7,5,6067,silent,6062
12,28|8|7|2|1|1|1,7,37,47083,silent,47046
12,28|8|6|3|1|1|1,7,86,118813,silent,118727
12,28|8|6|2|2|1|1,7,117,109930,silent,109813
12,28|8|5|4|1|1|1,7,91,121260,silent,121169
12,28|8|5|3|2|1|1,7,228,257547,silent,257319
12,28|8|5|2|2|2|1,7,177,111867,silent,111690
12,28|8|4|4|2|1|1,7,112,151525,silent,151413
12,28|8|4|3|3|1|1,7,76,141971,silent,141895
12,28|8|4|3|2|2|1,7,181,188610,silent,188429
12,28|8|4|2|2|2|2,7,112,46455,silent,46343
12,28|8|3|3|3|2|1,7,16,68951,silent,68935
12,28|8|3|3|2|2|2,7,26,39560,silent,39534
12,28|7|7|3|1|1|1,7,36,51882,silent,51846
12,28|7|7|2|2|1|1,7,62,47640,silent,47578
12,28|7|6|4|1|1|1,7,66,103791,silent,103725
12,28|7|6|3|2|1|1,7,162,204964,silent,204802
12,28|7|6|2|2|2|1,7,126,86373,silent,86247
12,28|7|5|5|1|1|1,7,51,59295,silent,59244
12,28|7|5|4|2|1|1,7,197,251337,silent,251140
12,28|7|5|3|3|1|1,7,94,188700,silent,188606
12,28|7|5|3|2|2|1,7,200,242875,silent,242675
12,28|7|5|2|2|2|2,7,80,53594,silent,53514
12,28|7|4|4|3|1|1,7,76,144158,silent,144082
12,28|7|4|4|2|2|1,7,141,156707,silent,156566
12,28|7|4|3|3|2|1,7,60,182602,silent,182542
12,28|7|4|3|2|2|2,7,86,98916,silent,98830
12,28|7|3|3|3|3|1,7,0,-1,a0,
12,28|7|3|3|3|2|2,7,3,40206,silent,40203
12,28|6|6|5|1|1|1,7,19,36529,silent,36510
12,28|6|6|4|2|1|1,7,77,127065,silent,126988
12,28|6|6|3|3|1|1,7,49,90721,silent,90672
12,28|6|6|3|2|2|1,7,95,115965,silent,115870
12,28|6|6|2|2|2|2,7,54,25605,silent,25551
12,28|6|5|5|2|1|1,7,74,93937,silent,93863
12,28|6|5|4|3|1|1,7,98,181888,silent,181790
12,28|6|5|4|2|2|1,7,138,190441,silent,190303
12,28|6|5|3|3|2|1,7,62,181932,silent,181870
12,28|6|5|3|2|2|2,7,62,94766,silent,94704
12,28|6|4|4|4|1|1,7,23,49284,silent,49261
12,28|6|4|4|3|2|1,7,75,157714,silent,157639
12,28|6|4|4|2|2|2,7,74,69115,silent,69041
12,28|6|4|3|3|3|1,7,4,70546,silent,70542
12,28|6|4|3|3|2|2,7,14,86541,silent,86527
12,28|6|3|3|3|3|2,7,0,-1,a0,
12,28|5|5|5|3|1|1,7,25,41880,silent,41855
12,28|5|5|5|2|2|1,7,16,40268,silent,40252
12,28|5|5|4|4|1|1,7,27,37932,silent,37905
12,28|5|5|4|3|2|1,7,45,111481,silent,111436
12,28|5|5|4|2|2|2,7,18,45778,silent,45760
12,28|5|5|3|3|3|1,7,4,40987,silent,40983
12,28|5|5|3|3|2|2,7,12,49851,silent,49839
12,28|5|4|4|4|2|1,7,30,43308,silent,43278
12,28|5|4|4|3|3|1,7,8,47282,silent,47274
12,28|5|4|4|3|2|2,7,23,55474,silent,55451
12,28|5|4|3|3|3|2,7,0,-1,a0,
12,28|5|3|3|3|3|3,7,0,-1,a0,
12,28|4|4|4|4|3|1,7,4,9044,silent,9040
12,28|4|4|4|4|2|2,7,14,9126,silent,9112
12,28|4|4|4|3|3|2,7,0,-1,a0,
12,28|4|4|3|3|3|3,7,0,-1,a0,
12,27|16|1|1|1|1|1,7,0,-1,a0,
12,27|15|2|1|1|1|1,7,0,-1,a0,
12,27|14|3|1|1|1|1,7,0,-1,a0,
12,27|14|2|2|1|1|1,7,0,-1,a0,
12,27|13|4|1|1|1|1,7,1,8695,silent,8694
12,27|13|3|2|1|1|1,7,9,14604,silent,14595
12,27|13|2|2|2|1|1,7,12,5703,silent,5691
12,27|12|5|1|1|1|1,7,6,16895,silent,16889
12,27|12|4|2|1|1|1,7,28,41318,silent,41290
12,27|12|3|3|1|1|1,7,25,26471,silent,26446
12,27|12|3|2|2|1|1,7,57,32756,silent,32699
12,27|12|2|2|2|2|1,7,43,8121,silent,8078
12,27|11|6|1|1|1|1,7,9,24388,silent,24379
12,27|11|5|2|1|1|1,7,70,80446,silent,80376
12,27|11|4|3|1|1|1,7,71,91643,silent,91572
12,27|11|4|2|2|1|1,7,138,93248,silent,93110
12,27|11|3|3|2|1|1,7,86,73778,silent,73692
12,27|11|3|2|2|2|1,7,118,43656,silent,43538
12,27|11|2|2|2|2|2,7,45,6252,silent,6207
12,27|10|7|1|1|1|1,7,14,25833,silent,25819
12,27|10|6|2|1|1|1,7,87,108883,silent,108796
12,27|10|5|3|1|1|1,7,159,180520,silent,180361
12,27|10|5|2|2|1|1,7,228,170772,silent,170544
12,27|10|4|4|1|1|1,7,64,94050,silent,93986
12,27|10|4|3|2|1|1,7,252,252563,silent,252311
12,27|10|4|2|2|2|1,7,245,118498,silent,118253
12,27|10|3|3|3|1|1,7,44,70937,silent,70893
12,27|10|3|3|2|2|1,7,107,98861,silent,98754
12,27|10|3|2|2|2|2,7,92,30668,silent,30576
12,27|9|8|1|1|1|1,7,9,16906,silent,16897
12,27|9|7|2|1|1|1,7,88,99544,silent,99456
12,27|9|6|3|1|1|1,7,178,225046,silent,224868
12,27|9|6|2|2|1|1,7,249,206919,silent,206670
12,27|9|5|4|1|1|1,7,179,218983,silent,218804
12,27|9|5|3|2|1|1,7,433,457050,silent,456617
12,27|9|5|2|2|2|1,7,313,195617,silent,195304
12,27|9|4|4|2|1|1,7,224,263636,silent,263412
12,27|9|4|3|3|1|1,7,140,242902,silent,242762
12,27|9|4|3|2|2|1,7,330,320288,silent,319958
12,27|9|4|2|2|2|2,7,166,76613,silent,76447
12,27|9|3|3|3|2|1,7,35,114659,silent,114624
12,27|9|3|3|2|2|2,7,54,65328,silent,65274
12,27|8|8|2|1|1|1,7,32,40265,silent,40233
12,27|8|7|3|1|1|1,7,131,161761,silent,161630
12,27|8|7|2|2|1|1,7,168,146521,silent,146353
12,27|8|6|4|1|1|1,7,172,249506,silent,249334
12,27|8|6|3|2|1|1,7,409,482193,silent,481784
12,27|8|6|2|2|2|1,7,291,199900,silent,199609
12,27|8|5|5|1|1|1,7,119,131154,silent,131035
12,27|8|5|4|2|1|1,7,436,537959,silent,537523
12,27|8|5|3|3|1|1,7,236,397520,silent,397284
12,27|8|5|3|2|2|1,7,440,506874,silent,506434
12,27|8|5|2|2|2|2,7,177,109874,silent,109697
12,27|8|4|4|3|1|1,7,167,292235,silent,292068
12,27|8|4|4|2|2|1,7,291,313973,silent,313682
12,27|8|4|3|3|2|1,7,144,359975,silent,359831
12,27|8|4|3|2|2|2,7,173,192108,silent,191935
12,27|8|3|3|3|3|1,7,3,61321,silent,61318
12,27|8|3|3|3|2|2,7,7,75601,silent,75594
12,27|7|7|4|1|1|1,7,92,113445,silent,113353
12,27|7|7|3|2|1|1,7,179,211629,silent,211450
12,27|7|7|2|2|2|1,7,111,85635,silent,85524
12,27|7|6|5|1|1|1,7,95,142977,silent,142882
12,27|7|6|4|2|1|1,7,344,469236,silent,468892
12,27|7|6|3|3|1|1,7,173,324645,silent,324472
12,27|7|6|3|2|2|1,7,336,409263,silent,408927
12,27|7|6|2|2|2|2,7,125,85588,silent,85463
12,27|7|5|5|2|1|1,7,209,274390,silent,274181
12,27|7|5|4|3|1|1,7,293,507117,silent,506824
12,27|7|5|4|2|2|1,7,383,523341,silent,522958
12,27|7|5|3|3|2|1,7,191,488326,silent,488135
12,27|7|5|3|2|2|2,7,171,249646,silent,249475
12,27|7|4|4|4|1|1,7,79,125885,silent,125806
12,27|7|4|4|3|2|1,7,195,390485,silent,390290
12,27|7|4|4|2|2|2,7,147,165938,silent,165791
12,27|7|4|3|3|3|1,7,15,169204,silent,169189
12,27|7|4|3|3|2|2,7,51,206070,silent,206019
12,27|7|3|3|3|3|2,7,0,-1,a0,
12,27|6|6|6|1|1|1,7,6,25406,silent,25400
12,27|6|6|5|2|1|1,7,107,173406,silent,173299
12,27|6|6|4|3|1|1,7,130,262566,silent,262436
12,27|6|6|4|2|2|1,7,205,269874,silent,269669
12,27|6|6|3|3|2|1,7,90,236671,silent,236581
12,27|6|6|3|2|2|2,7,96,120689,silent,120593
12,27|6|5|5|3|1|1,7,119,207976,silent,207857
12,27|6|5|5|2|2|1,7,108,198881,silent,198773
12,27|6|5|4|4|1|1,7,96,173679,silent,173583
12,27|6|5|4|3|2|1,7,219,497473,silent,497254
12,27|6|5|4|2|2|2,7,125,202378,silent,202253
12,27|6|5|3|3|3|1,7,24,172968,silent,172944
12,27|6|5|3|3|2|2,7,47,207492,silent,207445
12,27|6|4|4|4|2|1,7,96,150116,silent,150020
12,27|6|4|4|3|3|1,7,31,160111,silent,160080
12,27|6|4|4|3|2|2,7,79,184909,silent,184830
12,27|6|4|3|3|3|2,7,1,104774,silent,104773
12,27|6|3|3|3|3|3,7,0,-1,a0,
12,27|5|5|5|4|1|1,7,31,51132,silent,51101
12,27|5|5|5|3|2|1,7,38,115943,silent,115905
12,27|5|5|5|2|2|2,7,6,42742,silent,42736
12,27|5|5|4|4|2|1,7,51,113926,silent,113875
12,27|5|5|4|3|3|1,7,29,116448,silent,116419
12,27|5|5|4|3|2|2,7,36,130881,silent,130845
12,27|5|5|3|3|3|2,7,5,61709,silent,61704
